conference_name,priority_level,attendees_500_plus,academic_acceptance_level,submission_tracks,travel_accommodation_sponsorship,cfp_deadline_MM-DD,cft_deadline_MM-DD,cfw_deadline_MM-DD,cfv_deadline_MM-DD,conference_start_date,conference_end_date,city,country,website_or_cfp_link,cft_link,cfw_link,cfv_link,conference_type,timezone,notes,last_verified_date,venue_pattern
Qatar Information Security Conference,Low,Yes,Industry,Talks,Yes,TBD,,,TBD,2024-05-01,2024-05-31,Doha,Qatar,https://www.qatarinfosec.com/,,,,In-Person,Asia/Qatar,Added from requested 2024 conference list,2026-03-30,Unknown
QCon London,High,Yes,Industry,Talks|Workshops,Unknown,TBD,TBD,TBD,TBD,2026-03-16,2026-03-18,London,United Kingdom,https://www.qconlondon.com/,,https://www.qconlondon.com/,,In-Person,Europe/London,No CFP; speakers invited by track hosts via networks; conference was March 16-18 2026 at QEII Centre London,2026-04-01,Unknown
RAID,High,Yes,Academic,Talks,Unknown,04-16,,,TBD,2026-10-11,2026-10-14,Lancaster,United Kingdom,https://raid2026.org/,,,,In-Person,Europe/London,Paper submission deadline Apr 16 on official RAID 2026 site,2026-03-30,Rotating
RooCon Sydney,Low,Yes,Industry,Talks,Unknown,TBD,,,TBD,2026-11-05,2026-11-05,Sydney,Australia,https://roocon.org.au/,,,,In-Person,Australia/Sydney,Estimated from prior early-November pattern,2026-03-30,Unknown
RSAC USA,High,Yes,Industry,Talks|Trainings,Unknown,08-24,08-24,TBD,TBD,2026-03-23,2026-03-26,San Francisco,United States,https://www.rsaconference.com/usa/call-for-submissions,https://www.rsaconference.com/usa/call-for-submissions/faq,,,In-Person,America/Los_Angeles,RSAC 2026 Mar 23-26 Moscone SF; no separate CfT portal—track sessions and Learning Labs (2h hands-on trainings) via unified Call for Submissions opened Jul 24 closed Aug 24 2025 23:59 PT; FAQ https://www.rsaconference.com/usa/call-for-submissions/faq; RSAC 2027 Apr 5-8 2027,2026-06-01,Mostly Fixed
RVAsec,Low,Yes,Industry,Talks|Workshops,Unknown,03-23,TBD,TBD,TBD,2026-06-09,2026-06-10,Richmond,United States,https://rvasec.com/cfp-2026/,,https://rvasec.com/,,In-Person,America/New_York,Estimated from 2025 official CFP close date (03-23) and RVAsec site-published 2026 conference dates at Richmond Marriott,2026-03-30,Mostly Fixed
SINCON,Medium,Yes,Industry,Talks|Workshops|Trainings,Unknown,TBD,TBD,TBD,TBD,2026-10-15,2026-10-16,Singapore,Singapore,https://www.infosec-city.com/,,,,In-Person,Asia/Singapore,Infosec In the City SINCON Singapore premier techno-centric cybersecurity conference; Oct 15-16 2026 tentative per official site; specialised training info soon; Kampungs keynotes workshops; IIC Productions Div0 community; formerly IICSG; 2025 concluded May 22-23; CFP 2026 not published conference@infosec-city.com; https://www.linkedin.com/company/infoseccity/,2026-06-01,Fixed
SecAppDev,Medium,Yes,Mixed,Talks|Trainings|Workshops,Unknown,TBD,TBD,TBD,TBD,2026-06-01,2026-06-05,Leuven,Belgium,https://secappdev.org/,https://secappdev.org/course/,,,In-Person,Europe/Brussels,20th edition Jun 1-5 2026 Faculty Club Groot Begijnhof Leuven; week-long immersive secure application development course nonprofit since 2005; no open CfP curated faculty 18 experts 2 keynotes 20 sessions 4 one-day workshops; 2026 in progress; registration https://ti.to/secappdev/secappdev2026; https://www.linkedin.com/company/secappdev/,2026-06-01,Fixed
SECCON,Medium,Yes,Industry,CTF|Workshops|Talks,Unknown,TBD,TBD,TBD,TBD,2024-12-01,2024-12-31,Tokyo,Japan,https://seccon.jp/,,https://seccon.jp/,,In-Person,Asia/Tokyo,Added from requested 2024 conference list,2026-03-30,Unknown
SecTor,Medium,Yes,Industry,Talks,Yes,05-26,TBD,TBD,TBD,2026-10-06,2026-10-08,Toronto,Canada,https://sectorcfp.blackhat.com/,,,,In-Person,America/Toronto,SecTor 2026 Black Hat briefings Oct 7-8 Metro Toronto Convention Centre; event Oct 6-8; CFP opened Apr 1 closed May 26 2026 23:59 ET; notifications by Jul 24; speaker benefits per Black Hat briefings policy; cfp@blackhat.com; no public workshop CfP,2026-06-01,Mostly Fixed
Security Camp Japan,Medium,No,Industry,Trainings|Workshops,Yes,TBD,TBD,TBD,TBD,2024-08-01,2024-08-31,Tokyo,Japan,https://security-camp.jp/,https://security-camp.jp/,https://security-camp.jp/,,In-Person,Asia/Tokyo,Added from requested 2024 conference list,2026-03-30,Unknown
Security unter Kontrolle,Medium,Unknown,Industry,Talks,Unknown,09-15,TBD,TBD,TBD,2027-03-02,2027-03-03,Duisburg,Germany,https://atpinfo.de/security-unter-kontrolle-call-for-contributions/,,,,In-Person,Europe/Berlin,SuK 4th edition Mar 2-3 2027 Gebläsehallenkomplex Landschaftspark Duisburg Nord; German OT/industrial automation security congress Vulkan-Verlag admeritia; CfC open until Sep 15 2026 email info@security-unter-kontrolle.de 30 min talks German; 2026 Mar 17-18 concluded 3rd edition; https://www.linkedin.com/company/security-unter-kontrolle/,2026-06-01,Fixed
SmashingConf New York,Medium,Yes,Industry,Talks|Workshops,Yes,TBD,TBD,TBD,TBD,2024-10-07,2024-10-10,New York,United States,https://smashingconf.com/,,https://smashingconf.com/,,In-Person,America/New_York,Added from requested 2024 conference list,2026-03-30,Unknown
Swiss Cyber Storm,Medium,Yes,Industry,Talks,Unknown,TBD,,,TBD,2026-10-20,2026-10-20,Bern,Switzerland,https://swisscyberstorm.com/,,,,In-Person,Europe/Zurich,Estimated from 2025 official event info: conference date published but no public CFP process exposed,2026-03-30,Mostly Fixed
Techorama Belgium,Medium,Yes,Industry,Talks|Workshops,Yes,01-30,TBD,TBD,TBD,2026-05-11,2026-05-13,Antwerp,Belgium,https://sessionize.com/techorama-2026-belgium/,,https://sessionize.com/techorama-2026-belgium/,,In-Person,Europe/Brussels,Public CFP closes January 30 2026,2026-03-30,Unknown
Techorama Netherlands,Medium,Yes,Industry,Talks|Workshops|Keynotes,Yes,05-29,TBD,TBD,TBD,2026-10-26,2026-10-28,Utrecht,Netherlands,https://sessionize.com/techorama-2026-netherlands/,,https://www.techorama.nl/,,In-Person,Europe/Amsterdam,Techorama 2026 NL Medieval Edition Oct 26-28 Utrecht; workshops Oct 26 Van der Valk conference Oct 27-28 Kinepolis Jaarbeurs; CFP Sessionize opened Feb 17 closed May 29 2026 19:00 CEST; breakout sessions keynotes and full-day workshops; Microsoft-focused dev conference; speaker travel and hotel per Sessionize,2026-06-01,Mostly Fixed
TenguCon Japan,Low,Yes,Industry,Talks,Unknown,TBD,,,TBD,2026-11-21,2026-11-22,Tokyo,Japan,https://tengucon.org/,,,,In-Person,Asia/Tokyo,Added from backlog list,2026-03-30,Unknown
The Web Conference,High,Yes,Mixed,Talks|Workshops,Unknown,10-07,TBD,10-20,TBD,2026-06-29,2026-07-03,Dubai,United Arab Emirates,https://www2026.thewebconf.org/important-dates.html,,https://www2026.thewebconf.org/calls.html,,In-Person,Asia/Dubai,Official WebConf 2026 homepage lists Dubai venue and updated conference dates June 29 to July 3 2026,2026-03-31,Rotating
THOTCON,Low,Yes,Industry,Talks,Unknown,TBD,,,TBD,TBD,TBD,Chicago,United States,https://thotcon.org/,,,,In-Person,America/Chicago,Added from backlog list,2026-03-30,Unknown
THREAT CON,Low,Unknown,Industry,Talks|Workshops|CTF|Panels,Yes,06-25,TBD,TBD,TBD,2023-09-11,2023-09-13,Kathmandu,Nepal,https://threatcon.io/,https://2023.threatcon.io/cfp,,,In-Person,Asia/Kathmandu,Nepal annual infosec conference by ThreatNix since 2018 Black Hat/DEF CON style community event; fifth edition Sep 11-13 2023 NPT Hotel Yak & Yeti Durbar Marg Kathmandu three-day talks workshops CTF arsenal sessions; HackerOne sponsored; CFP closed Jun 25 2023 per 2023.threatcon.io/cfp speakers 2-night accommodation dinner; no 2025 or 2026 edition announced Jun 2026 threatcon.io series landing only; www.threatcon.io is ThreatNix corporate site; not US ThreatCon1 or South Africa THREAT supply-chain conference; https://www.linkedin.com/company/threat-con/,2026-06-01,Mostly Fixed
Troopers,High,Yes,Industry,Talks|Trainings,Yes,03-31,03-31,TBD,TBD,2026-06-22,2026-06-26,Heidelberg,Germany,https://www.troopers.de/troopers26/contribute/,https://cfp.troopers.de/tr26-cft/cfp,,,In-Person,Europe/Berlin,CfP deadline Mar 31 and CfT deadline Mar 31 2026 at 23:59 Berlin; trainings Jun 22-23 conference Jun 24-25 at Print Media Academy Heidelberg,2026-04-01,Unknown
USENIX HotSec,Medium,No,Academic,Talks,Unknown,TBD,,,TBD,TBD,TBD,TBD,United States,https://www.usenix.org/conferences/byname/108,,,,In-Person,America/New_York,Track annual USENIX security workshop cycle when official HotSec page posts dates,2026-03-30,Mostly Fixed
USENIX Security,High,Yes,Academic,Talks,Unknown,02-05,,,TBD,2026-08-12,2026-08-14,Baltimore,United States,https://www.usenix.org/conference/usenixsecurity26/call-for-papers,,,,In-Person,America/New_York,Official USENIX Security 26 CFP confirms Baltimore dates (Aug 12-14 2026) and cycle 2 paper deadline Feb 5 AoE,2026-03-31,Mostly Fixed
USENIX WOOT,Medium,No,Academic,Talks,Unknown,03-03,,,TBD,2026-08-10,2026-08-11,Baltimore,United States,https://www.usenix.org/conference/woot26/call-for-papers,,,,In-Person,America/New_York,Two submission cycles and cycle 2 deadline Mar 3 AoE on official CFP,2026-03-30,Mostly Fixed
Visual Studio Live! VSLive!,Medium,Yes,Industry,Talks|Trainings|Workshops,Yes,TBD,TBD,TBD,TBD,2024-11-17,2024-11-22,Orlando,United States,https://vslive.com/,https://vslive.com/,https://vslive.com/,,In-Person,America/New_York,Added from requested 2024 conference list,2026-03-30,Unknown
W2SP,Medium,No,Academic,Talks|Workshops,Unknown,TBD,TBD,TBD,TBD,TBD,TBD,TBD,United States,https://www.ieee-security.org/TC/SPW/,,https://www.ieee-security.org/TC/SPW/,,In-Person,America/Los_Angeles,Co-located web security workshop family with IEEE S and P and yearly CFP varies,2026-03-30,Mostly Fixed
WeAreDevelopers World Congress,High,Yes,Industry,Talks,Unknown,02-19,TBD,TBD,TBD,2026-07-08,2026-07-10,Berlin,Germany,https://sessionize.com/wearedevelopers-world-congress-2026-europe/,,,,In-Person,Europe/Berlin,CFP opened Sep 30 2025 closed Feb 19 2026; conference Jul 8-10 2026 at Messe Berlin CityCube,2026-04-01,Unknown
Web Summit Qatar,Medium,Yes,Industry,Talks,Unknown,TBD,,,TBD,2027-01-31,2027-02-03,Doha,Qatar,https://websummit.com/qatar/,,,,In-Person,Asia/Qatar,Speaker invite/application model; no traditional CFP; 2027 edition Jan 31-Feb 3 2027 Doha; 2026 edition already concluded Feb 1-4 2026,2026-04-01,Unknown
World Conference on Cyber Security and Ethical Hacking,Low,Yes,Academic,Talks,Yes,09-28,,,TBD,2024-10-23,2024-10-24,Tokyo,Japan,https://waset.org/,,,,In-Person,Asia/Tokyo,Added from requested 2024 conference list,2026-03-30,Unknown
x33fcon,High,No,Industry,Talks|Trainings|Workshops,Unknown,02-02,01-12,02-02,TBD,2026-06-11,2026-06-12,Gdynia,Poland,https://www.papercall.io/x33fcon-conference-2026,https://www.papercall.io/x33fcon-training-2026,https://www.papercall.io/x33fcon-workshops-2026,,In-Person,Europe/Warsaw,x33fcon 2026 10th edition purple teaming red-blue collaboration; conference Jun 11-12 trainings Jun 8-10 Gdynia Aleja Zwyciestwa 96/98 and online tickets via Konfeo; PaperCall CFP talks closed Feb 2 2026 UTC CFT Jan 12 workshops Feb 2; 40 min talks 1-3 day trainings 1-3 hr workshops; tickets early bird sold out last-minute until May 31 2026; GoUp4 organizer; https://x33fcon2026.konfeo.com/; https://www.linkedin.com/company/x33fcon/,2026-06-01,Mostly Fixed
ThreatModCon San Francisco,Medium,No,Mixed,Talks|Workshops|Panels,No,TBD,TBD,TBD,TBD,2026-11-06,2026-11-07,San Francisco,United States,https://www.threatmodcon.com/san-francisco-2026,,,,In-Person,America/Los_Angeles,Only conference dedicated to threat modeling and secure-by-design; Nov 6-7 2026 Hyatt Regency San Francisco timed after OWASP Global AppSec USA; official site CFP opens Jun 22 2026 Sessionize portal not yet published close date TBD; formats technical talks Show and Tell Mastermind workshops Un-Keynote poster sessions; accepted speakers get complimentary pass no travel or lodging per prior editions,2026-06-01,Rotating
ThreatModCon Vienna,Medium,No,Mixed,Talks|Workshops|Panels,No,03-13,TBD,TBD,TBD,2026-06-26,2026-06-27,Vienna,Austria,https://sessionize.com/threatmodcon-2026-vienna/,,,,In-Person,Europe/Vienna,Only conference dedicated to threat modeling and secure-by-design; Jun 26-27 2026 Meliá Vienna after OWASP Global AppSec EU Jun 22-26; Sessionize CFP closed Mar 13 2026; ~120 delegates practitioner-led vendor-neutral; Briefings and Sandbox tracks include Show and Tell Mastermind hands-on workshops; free pass for speakers no travel or lodging; Threat Modeling Connect flagship event,2026-06-01,Rotating
German OSINT Conference,Medium,No,Industry,Talks,Partial,TBD,TBD,TBD,TBD,2026-06-16,2026-06-16,Wetzlar,Germany,https://www.gosintcon.de/,,,,In-Person,Europe/Berlin,GOSINTCon26 Jun 16 2026 Leica Welt Am Leitz-Park 6 Wetzlar; German Open Source Intelligence Conference deutschsprachige OSINT since 2020 theme OSINT Geschüttelt nicht gerührt; single-day 12:00 entry talks until evening get-together; min 80 participants per ticket shop; conference and supporter tickets sold out Jun 2026; speaker applications closed program partially announced; speaker travel reimbursement up to EUR 300 against invoice; OSINTgeek founders Samuel Lolagar Matthias Wilson; prior editions 2020-2025 on gosintcon.de; no public CFP close date on official site; https://www.linkedin.com/company/german-osint-conference/,2026-06-01,Fixed
